"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"sport","La ciudadela","Rodellar","entrecot","8a","2017-04-22","Buena de Tom","Buena de Tom","","onsight","spain",""
"sport","Mas perros que personas","Rodellar","gran boveda","8a","2017-04-16","3p. Muy de bloque!","3p. Muy de bloque!","","redpoint","spain",""
"sport","la ley de murphy","Foz de zafrané","solariun c1447","8a","2017-02-22","","","","onsight","spain",""
"sport","Arendel","Foz de zafrané","placas del sol","8a","2017-02-19","Buenísima vía de Marquitos, precioso regleteo sobre roca de excelente calidad","Buenísima vía de Marquitos, precioso regleteo sobre roca de excelente calidad","","flash","spain",""
"sport","Lucha o vuela","Foz de zafrané","solarium","8a","2017-02-19","","","","onsight","spain",""
"sport","Un rato en cada postura","Can Piqui Pugui","","8a","2017-02-05","Una buena clásica, lastima el monodedo tallado, la vía sale sin el...","Una buena clásica, lastima el monodedo tallado, la vía sale sin el...","","onsight","spain","Siurana"
"sport","Orquídea salvaje","La Pedriza","el reloj","8a","2017-01-22","3p. Muy buena via!!! Gran día en la Pedriza conociendo este magnífico lugar!!!","3p. Muy buena via!!! Gran día en la Pedriza conociendo este magnífico lugar!!!","","redpoint","spain","Madrid"
"sport","dos y no mas","Alquezar","","8a","2017-01-11","Doblete con Boby, la historia se repite...""dos y no más""!!!!! Seguimos con la ruta Betica de Old School!!! Gran trabajo Beto!!!!","Doblete con Boby, la historia se repite...""dos y no más""!!!!! Seguimos con la ruta Betica de Old School!!! Gran trabajo Beto!!!!","","onsight","spain","Barcelona"
"sport","El vuité art","Balco de l'Ermita","","8a","2017-01-01","Primer ocho del año!!! Buen Día en la hermita!!!","Primer ocho del año!!! Buen Día en la hermita!!!","","onsight","spain","Margalef"
"sport","La final de la rambla","El pati","","8a","2016-12-18","","","","redpoint","spain","Siurana"
"sport","Pren Nota","Negociee","","8a","2016-12-08","","","","onsight","spain","Siurana"
"sport","Marihuana","Negociee","","8a","2016-12-08","","","","onsight","spain","Siurana"
"sport","Mikado","Gandía","bove2","8a","2016-11-05","Puede valer...","Puede valer...","","onsight","spain","Alicante"
