,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,ID,Prediction
208,24,8.2,538,0.111,0.11,0.778,85,5,20,390,123,7.355,208,20
209,7,8.05,90,0.04,0.03,0.93,92,0,0,72,18,7.34,209,3
210,12,8.15,134,0.099,0.123,0.778,76,0,0,56,78,7.742,210,8
211,18,8.05,981,0.493,0.013,0.494,87,0,0,946,35,7.098,211,7
212,2,8.1,18,0.088,0,0.912,93,0,0,12,6,7.75,212,8
213,21,8.15,409,0.104,0.045,0.842,75,3,51,223,132,7.529,213,20
214,10,8.1,481,0.455,0.164,0.358,75,15,175,254,37,6.803,214,26
215,5,8.1,115,0.255,0.046,0.699,94,3,11,88,13,7.18,215,21
216,3,8.05,122,0.473,0.09,0.438,95,1,1,112,8,7.123,216,21
217,4,8.1,148,0.539,0.012,0.449,61,0,24,115,9,7.067,217,9
218,11,8.1,560,0.428,0.119,0.446,58,8,162,367,23,6.77,218,18
219,9,8.15,193,0.134,0.011,0.855,87,0,0,96,97,7.662,219,3
220,9,8.1,602,0.315,0.12,0.564,58,4,154,423,21,6.829,220,18
221,13,8.1,380,0.268,0.098,0.632,75,24,62,252,42,6.898,221,20
222,5,8.05,54,0.13,0,0.87,75,0,0,25,29,7.594,222,8
223,12,8.05,412,0.057,0.06,0.884,87,0,95,301,16,6.89,223,3
224,1,8.05,40,0.375,0.025,0.6,67,0,0,35,5,7.23,224,9
225,10,8.05,445,0.182,0.041,0.777,79,0,1,428,16,7.108,225,3
226,27,8.25,1582,0.377,0.05,0.572,60,0,1,1123,458,7.453,226,6
227,6,8,431,0.565,0.083,0.351,96,0,130,294,7,6.81,227,26
228,1,8.05,77,0.442,0.039,0.519,60,0,0,62,15,7.29,228,9
229,6,8.05,219,0.548,0.003,0.244,84,13,35,157,14,6.968,229,26
230,9,8.1,159,0.186,0.027,0.788,85,0,7,120,32,7.352,230,3
231,23,8.2,317,0.213,0.064,0.724,85,0,0,258,59,7.288,231,20
232,5,8.05,80,0.232,0.049,0.67,75,0,7,62,11,7.184,232,9
